topic,published_at,title,url,description,source_name
construction,2025-05-05T09:10:07+00:00,"AQR Capital Management LLC Sells 35,753 Shares of Vulcan Materials (NYSE:VMC)",https://www.marketbeat.com/instant-alerts/aqr-capital-management-llc-sells-35753-shares-of-vulcan-materials-nysevmc-2025-05-03/,"AQR Capital Management LLC cut its stake in Vulcan Materials (NYSE:VMC - Free Report) by 18.7% in the fourth quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 155,637 shares of the construction company's stock after selling",lulegacy
construction,2025-05-05T09:02:53+00:00,"Northern Trust Corp Purchases 98,533 Shares of UFP Industries, Inc. (NASDAQ:UFPI)",https://www.marketbeat.com/instant-alerts/northern-trust-corp-purchases-98533-shares-of-ufp-industries-inc-nasdaqufpi-2025-05-03/,"Northern Trust Corp increased its position in shares of UFP Industries, Inc. (NASDAQ:UFPI - Free Report) by 9.7% during the 4th quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm owned 1,111,147 shares of the construction company's stock aft",lulegacy
construction,2025-05-05T09:02:51+00:00,Northern Trust Corp Increases Stake in Owens Corning (NYSE:OC),https://www.marketbeat.com/instant-alerts/northern-trust-corp-increases-stake-in-owens-corning-nyseoc-2025-05-03/,"Northern Trust Corp boosted its stake in shares of Owens Corning (NYSE:OC - Free Report) by 27.4% during the 4th quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The fund owned 964,861 shares of the construction company's stock after purchasin",lulegacy
construction,2025-05-05T09:02:48+00:00,"Watsco, Inc. (NYSE:WSO) Shares Purchased by Northern Trust Corp",https://www.marketbeat.com/instant-alerts/watsco-inc-nysewso-shares-purchased-by-northern-trust-corp-2025-05-03/,"Northern Trust Corp boosted its position in shares of Watsco, Inc. (NYSE:WSO - Free Report) by 25.5% during the 4th quarter, according to the company in its most recent disclosure with the Securities &amp; Exchange Commission. The firm owned 333,348 shares of the construction company's stock after",lulegacy
construction,2025-05-05T09:02:34+00:00,"Comfort Systems USA, Inc. (NYSE:FIX) Shares Bought by Northern Trust Corp",https://www.marketbeat.com/instant-alerts/comfort-systems-usa-inc-nysefix-shares-bought-by-northern-trust-corp-2025-05-03/,"Northern Trust Corp grew its holdings in Comfort Systems USA, Inc. (NYSE:FIX - Free Report) by 20.1% during the 4th quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The fund owned 314,821 shares of the construction company's stock after purcha",lulegacy
construction,2025-05-05T09:02:11+00:00,"Martin Marietta Materials, Inc. (NYSE:MLM) Shares Sold by The Manufacturers Life Insurance Company",https://www.marketbeat.com/instant-alerts/martin-marietta-materials-inc-nysemlm-shares-sold-by-the-manufacturers-life-insurance-company-2025-05-03/,"The Manufacturers Life Insurance Company lessened its holdings in shares of Martin Marietta Materials, Inc. (NYSE:MLM - Free Report) by 71.9% in the fourth quarter, according to its most recent filing with the SEC. The firm owned 34,699 shares of the construction company's stock after selling 88,68",lulegacy
construction,2025-05-05T09:02:05+00:00,"The Manufacturers Life Insurance Company Acquires 69,991 Shares of AECOM (NYSE:ACM)",https://www.marketbeat.com/instant-alerts/the-manufacturers-life-insurance-company-acquires-69991-shares-of-aecom-nyseacm-2025-05-03/,"The Manufacturers Life Insurance Company raised its holdings in AECOM (NYSE:ACM - Free Report) by 64.0% in the 4th quarter, according to the company in its most recent 13F filing with the SEC. The fund owned 179,414 shares of the construction company's stock after purchasing an additional 69,991 sh",lulegacy
construction,2025-05-05T09:02:04+00:00,The Manufacturers Life Insurance Company Has $19.22 Million Stock Holdings in Vulcan Materials (NYSE:VMC),https://www.marketbeat.com/instant-alerts/the-manufacturers-life-insurance-company-has-1922-million-stock-holdings-in-vulcan-materials-nysevmc-2025-05-03/,"The Manufacturers Life Insurance Company reduced its stake in shares of Vulcan Materials (NYSE:VMC - Free Report) by 5.9% during the 4th quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owned 74,736 shares of the construction company's stock",lulegacy
construction,2025-05-05T08:52:12+00:00,Tudor Investment Corp ET AL Has $3.47 Million Stake in Boise Cascade (NYSE:BCC),https://www.marketbeat.com/instant-alerts/tudor-investment-corp-et-al-has-347-million-stake-in-boise-cascade-nysebcc-2025-05-03/,"Tudor Investment Corp ET AL grew its holdings in Boise Cascade (NYSE:BCC - Free Report) by 139.6% during the fourth quarter, according to the company in its most recent Form 13F filing with the SEC. The institutional investor owned 29,164 shares of the construction company's stock after purchasing",lulegacy
construction,2025-05-05T08:52:08+00:00,"Tudor Investment Corp ET AL Has $3.05 Million Stock Holdings in United States Lime & Minerals, Inc. (NASDAQ:USLM)",https://www.marketbeat.com/instant-alerts/tudor-investment-corp-et-al-has-305-million-stock-holdings-in-united-states-lime-minerals-inc-nasdaquslm-2025-05-03/,"Tudor Investment Corp ET AL lowered its stake in United States Lime & Minerals, Inc. (NASDAQ:USLM - Free Report) by 11.9% during the fourth quarter, according to the company in its most recent filing with the SEC. The fund owned 22,961 shares of the construction company's stock after selling 3,087",lulegacy
